Depth (m);Temperature (deg_C);Conductivity (S/m);Salinity (PSU)
233;13.8149336577965;45.9740253711484;38.7911857749767
234;13.814140856676;45.9734817016807;38.7910268067227
235;13.8133523762838;45.9729429901961;38.7908681489262
236;13.8125683239963;45.9724093744164;38.7907098272642
237;13.8117887931839;45.9718809990663;38.7905518907563
238;13.8110138935574;45.9713580275443;38.7903943837535
239;13.810243767507;45.970840690943;38.7902373879552
240;13.8094785994398;45.9703292530345;38.7900809733894
241;13.8087185247432;45.9698239472456;38.7899252240897
242;13.8079636227824;45.9693249276377;38.789770200747
243;13.8072139565826;45.96883232493;38.7896159593838
244;13.8064695354809;45.9683462114846;38.7894625490196
245;13.8057303384687;45.9678665429505;38.7893099416433
246;13.804996319639;45.9673932072829;38.7891580773421
247;13.804267394958;45.9669261227824;38.7890069584501
248;13.8035434422658;45.9664651540616;38.788856581855
249;13.8028243378462;45.9660101602863;38.7887069436664
250;13.802109964986;45.9655610371926;38.7885580641145
251;13.8014002023031;45.9651176890756;38.7884099758793
252;13.8006949517585;45.9646800202303;38.7882626906318
253;13.7999941293184;45.9642479256147;38.7881161990352
254;13.7992976439465;45.9638213188609;38.7879705174292
255;13.7986054232804;45.9634001649549;38.7878256948335
256;13.7979174859944;45.9629845409275;38.7876817966076
257;13.7972339301276;45.9625746428571;38.7875389137878
258;13.7965548840647;45.9621707228447;38.7873971560847
259;13.7958805018674;45.9617730376595;38.7872566215375
260;13.7952109329287;45.9613818417367;38.7871174081855
261;13.7945463422035;45.9609973941799;38.7869796016184
262;13.7938869070962;45.9606199120759;38.7868432368503
263;13.7932327871148;45.9602496498599;38.78670839169
264;13.7925841316527;45.9598868510738;38.7865751447246
265;13.7919410901027;45.9595317273576;38.7864435504202
266;13.7913037955182;45.959184457672;38.7863136515718
267;13.7906723295985;45.9588451704015;38.7861854901961
268;13.7900467600373;45.9585139737006;38.7860590981948
269;13.7894271848739;45.9581909632742;38.7859344638967
270;13.7888137138189;45.9578761904762;38.7858115219421
271;13.7882063865546;45.9575696039527;38.7856901812948
272;13.7876051540616;45.9572710636477;38.7855703602552
273;13.7870099136321;45.9569802917834;38.7854519000934
274;13.7864205135387;45.9566970012449;38.7853346817616
275;13.7858367343604;45.9564208979147;38.7852186469032
276;13.7852583193277;45.9561516666667;38.7851037488329
277;13.7846850163399;45.9558889783691;38.7849899245254
278;13.7841166013072;45.9556325062247;38.7848770922814
279;13.7835528968254;45.9553819327731;38.7847651330532
280;13.7829936998133;45.9551369358855;38.7846539441332
281;13.7824387931839;45.9548972058823;38.7845434407096
282;13.7818879901961;45.9546624533147;38.7844335294118
283;13.7813411111111;45.954432359944;38.7843240919701
284;13.780797945845;45.9542065966386;38.7842150326797
285;13.7802582049486;45.9539848109244;38.7841063095238
286;13.779721582633;45.9537666409897;38.7839978851541
287;13.7791878011204;45.9535517600373;38.783889729225
288;13.7786566293184;45.9533399766573;38.7837818860878
289;13.7781278906007;45.9531310939932;38.7836743401805
290;13.7776014838157;45.9529249167445;38.783567002023
291;13.7770773506069;45.9527212955182;38.7834597805789
292;13.7765554489574;45.9525201299409;38.7833526151572
293;13.776035725179;45.9523213313103;38.7832454730781
294;13.7755180929038;45.9521247969188;38.7831383450047
295;13.7750024844382;45.9519303913788;38.7830311679116
296;13.774488846094;45.9517380003112;38.7829238834423
297;13.7739771078431;45.9515475256769;38.782816468254
298;13.7734671833178;45.9513588787737;38.7827089270153
299;13.7729589908185;45.9511719825708;38.7826012713975
300;13.7724524976657;45.9509868253968;38.7824935177404
301;13.7719477225335;45.9508034399315;38.7823856823841
302;13.7714447214441;45.9506218588547;38.7822777466542
303;13.7709435480859;45.9504420424837;38.7821696311858
304;13.7704442226891;45.9502639822596;38.7820613118581
305;13.7699467180205;45.9500876890756;38.7819528314659
306;13.769450961718;45.949913120915;38.7818442366947
307;13.7689568930906;45.9497401914099;38.7817355252101
308;13.7684644607843;45.9495688492063;38.7816267110178
309;13.7679736437908;45.9493991036414;38.7815178221289
310;13.7674844607843;45.9492310457516;38.7814089262372
311;13.7669969467787;45.9490647619048;38.7813000793651
312;13.766511136788;45.9489003267974;38.781191328198
313;13.7660270634921;45.9487378197946;38.7810827147526
314;13.7655447665733;45.9485773646125;38.7809743113912
315;13.7650643067227;45.9484190966387;38.7808661904762
316;13.7645857399626;45.9482631411453;38.780758408808
317;13.7641091059757;45.948109615624;38.7806510286337
318;13.7636344327731;45.9479587091503;38.7805441970121
319;13.7631617810457;45.9478105781201;38.7804380026455
320;13.7626912348273;45.9476653812636;38.7803325108933
321;13.7622228921569;45.9475232944289;38.7802277816682
322;13.7617568510738;45.9473845090258;38.780123889667
323;13.7612932119514;45.9472491643324;38.7800208636788
324;13.7608320331466;45.9471173630563;38.7799187480548
325;13.7603733053221;45.946989126206;38.7798175731404
326;13.759916993464;45.9468644211018;38.7797173366013
327;13.7594630648926;45.9467431753813;38.7796179964208
328;13.7590114915966;45.9466253003424;38.7795194919079
329;13.7585622408964;45.9465106652661;38.7794217273576
330;13.758115245098;45.946399134765;38.7793246420791
331;13.7576704061625;45.9462905718954;38.7792282096172
332;13.757227631497;45.946184807812;38.7791323630563
333;13.7567868370682;45.9460816487706;38.779037002023
334;13.7563479170557;45.9459808986928;38.7789420471522
335;13.7559107804233;45.9458823638344;38.7788474120759
336;13.7554753548086;45.94578589169;38.7787530392157
337;13.7550415421724;45.9456913538749;38.778658907563
338;13.7546092608154;45.945598627451;38.7785649836601
339;13.7541784570495;45.9455075863679;38.7784712044818
340;13.753749081855;45.9454181792717;38.7783775770308
341;13.7533211048864;45.9453304014939;38.7782841316527
342;13.7528945168067;45.9452442600373;38.7781908776844
343;13.7524693082789;45.9451597852474;38.7780978571429
344;13.7520454839714;45.9450770424837;38.778005140056
345;13.7516230672269;45.9449960690943;38.7779127427638
346;13.7512020860566;45.944916914099;38.7778206839402
347;13.7507825466853;45.9448396101774;38.7777289892624
348;13.750364449113;45.944764178338;38.77763767507
349;13.7499477521008;45.9446906045752;38.7775467693744
